,id
0,25728855
1,601472
2,277412034
3,109515304
4,23416722
5,278159875
6,278150175
7,278101824
8,277891027
9,277809376
10,273819808
11,109515310
12,273035979
13,273385345
14,171825185
15,277728224
16,276981137
17,276960030
18,276948798
19,276912755
20,275702538
21,278469526
22,276562353
23,18544822
24,275406600
25,276900136
26,276388548
27,275948240
28,275406600
29,275362670
30,274363543
31,274031576
32,273819808
33,271380890
34,270234757
35,263070154
36,262590428
37,249875150
38,207946236
39,202879294
40,195291930
41,170708233
42,161008715
43,140416370
44,107026335
45,101782486
46,74021317
47,71345381
48,56609155
49,52789367
50,42230121
51,13419678
52,3954355
53,1647103
54,545049
55,271379451
56,55319105
57,229714486
58,25728855
59,601472
60,278229572
61,278227594
62,278160056
63,278123144
64,277992334
65,277412034
66,276159943
67,109515304
68,275702538
69,23416722
70,277599506
71,277412034
72,276823777
73,276659602
74,276379811
75,109515310
76,273035979
77,273385345
78,171825185
79,278469526
80,276159943
81,275702538
82,275599939
83,275243138
84,274797526
85,273717706
86,273407953
87,272367381
88,271379451
89,271118010
90,270114030
91,261982682
92,247446852
93,229714486
94,220665663
95,204000450
96,195545304
97,190335975
98,187827003
99,184419723
100,177487151
101,168662171
102,145288029
103,107802188
104,85923342
105,75996801
106,55319105
107,50322710
108,10005245
109,4780917
110,278165395
111,278160053
112,278089762
113,278035545
114,278011249
115,277997247
116,277938216
117,277770425
118,277361862
119,276922095
120,276833162
121,276641698
122,276436427
123,276019606
124,275264393
125,274844704
126,274466425
127,272854044
128,270546273
129,253365659
130,249960247
131,249876840
132,249875170
133,225912339
134,210277880
135,194960730
136,176909221
137,113530805
138,91947689
139,73787185
140,66619715
141,59262880
142,59203514
143,57325187
144,48362502
145,39909003
146,11119019
147,7833728
148,3304875
149,750578
150,278249595
151,278192513
152,278170006
153,278159097
154,278130366
155,278123405
156,278096129
157,278095952
158,278095717
159,278059479
160,277992346
161,277816160
162,277591013
163,277539447
164,276777219
165,276313958
166,275905148
167,275429552
168,272449818
169,271518926
170,207256575
171,206784512
172,205581885
173,195801321
174,192475873
175,190861557
176,179063564
177,170708219
178,139303869
179,127649070
180,101897983
181,95289208
182,90056907
183,75307228
184,53728878
185,49002009
186,40933969
187,30757177
188,10767515
189,3639597
190,278229520
191,278226970
192,278160119
193,278122197
194,278089743
195,278076371
196,278074011
197,278055563
198,277933562
199,277857894
200,277587065
201,277581147
202,277381902
203,277164024
204,276968794
205,275215840
206,273135675
207,273114488
208,272888010
209,270504803
210,205148094
211,189940673
212,187843291
213,184070223
214,174842858
215,169546325
216,165030729
217,157255752
218,154245455
219,111290700
220,104314401
221,75953557
222,57815506
223,54266567
224,45663008
225,32490132
226,10920495
227,2619499
228,1702825
229,1085104
230,278160115
231,278123448
232,278109183
233,278095719
234,278000436
235,277921751
236,277875592
237,277837132
238,277722357
239,277447120
240,277358711
241,276944781
242,276912267
243,275923492
244,275044457
245,275006070
246,274668055
247,273355903
248,272000024
249,267340226
250,262977989
251,251928260
252,250339500
253,214186194
254,212992705
255,201845361
256,186876107
257,172206434
258,160759005
259,155550591
260,147920903
261,117238177
262,109505434
263,95218447
264,77982982
265,16284286
266,12138656
267,10581200
268,8965213
269,8885999
270,278242759
271,278242757
272,278227584
273,278160072
274,278100492
275,278070727
276,277962612
277,277827108
278,277585868
279,277409853
280,277384364
281,276735355
282,276396477
283,276289489
284,275601040
285,275212810
286,275207548
287,275041762
288,274456082
289,274120615
290,255480979
291,253129523
292,251772784
293,200852592
294,195962334
295,192125806
296,186290802
297,185909452
298,178032058
299,138810938
300,100347907
301,84970841
302,77665452
303,69219921
304,58710944
305,54614797
306,49910019
307,7953305
308,1667493
309,486206
310,278155114
311,278058778
312,277808259
313,277742023
314,277499422
315,277484010
316,277361914
317,276968843
